,Time,1,2,3
S/N,,227659,227659,227659
Type,,Tinytag Ultra H°C/%RH,Tinytag Ultra H°C/%RH,csv file
Description,,GH South wall,GH South wall,GH South wall
Property,,Temperature,Humidity,Dew Point
288,2020-02-06 11:24:00,12.0 °C,56.3 %RH,3.6 °C
289,2020-02-06 11:39:00,12.0 °C,56.3 %RH,3.6 °C
290,2020-02-06 11:54:00,12.0 °C,56.3 %RH,3.6 °C
291,2020-02-06 12:09:00,11.7 °C,56.3 %RH,3.3 °C
292,2020-02-06 12:24:00,12.0 °C,56.3 %RH,3.6 °C
293,2020-02-06 12:39:00,12.0 °C,56.3 %RH,3.6 °C
294,2020-02-06 12:54:00,12.0 °C,56.3 %RH,3.6 °C
295,2020-02-06 13:09:00,12.0 °C,56.3 %RH,3.6 °C
296,2020-02-06 13:24:00,12.3 °C,56.7 %RH,3.9 °C
297,2020-02-06 13:39:00,12.0 °C,56.7 %RH,3.7 °C
298,2020-02-06 13:54:00,12.0 °C,56.7 %RH,3.7 °C
299,2020-02-06 14:09:00,12.3 °C,56.7 %RH,3.9 °C
300,2020-02-06 14:24:00,12.3 °C,56.7 %RH,3.9 °C
301,2020-02-06 14:39:00,12.3 °C,56.7 %RH,3.9 °C
302,2020-02-06 14:54:00,12.3 °C,56.7 %RH,3.9 °C
303,2020-02-06 15:09:00,12.3 °C,56.7 %RH,3.9 °C
304,2020-02-06 15:24:00,12.3 °C,56.7 %RH,3.9 °C
305,2020-02-06 15:39:00,12.3 °C,56.7 %RH,3.9 °C
306,2020-02-06 15:54:00,12.3 °C,56.7 %RH,3.9 °C
307,2020-02-06 16:09:00,12.3 °C,56.7 %RH,3.9 °C
308,2020-02-06 16:24:00,12.3 °C,56.7 %RH,3.9 °C
309,2020-02-06 16:39:00,12.3 °C,56.7 %RH,3.9 °C
310,2020-02-06 16:54:00,12.3 °C,56.7 %RH,3.9 °C
311,2020-02-06 17:09:00,12.3 °C,56.7 %RH,3.9 °C
312,2020-02-06 17:24:00,12.3 °C,56.7 %RH,3.9 °C
313,2020-02-06 17:39:00,12.3 °C,56.7 %RH,3.9 °C
314,2020-02-06 17:54:00,12.3 °C,56.3 %RH,3.8 °C
315,2020-02-06 18:09:00,12.3 °C,56.3 %RH,3.8 °C
316,2020-02-06 18:24:00,12.3 °C,56.3 %RH,3.8 °C
317,2020-02-06 18:39:00,12.6 °C,56.3 %RH,4.1 °C
